车辆型号,生产企业,驱动型式,额定功率,变速器类型,发动机型号,车辆净重量,车辆最大重量,市郊油耗,市区油耗,综合油耗
SY5033XYP-D5S1BH9,华晨雷诺金杯汽车有限公司,后轮驱动,81,MT,V20,1750,2800,9.3,13.4,10.8
SY5038XBYL-G5S1BH9,华晨雷诺金杯汽车有限公司,后轮驱动,120,MT,3TZ,2055,3250,10.1,16.4,12.5
SY6470F4S1BC,华晨雷诺金杯汽车有限公司,前轮驱动,87,MT,BM16LD,1485,2010,5.2,9,6.6
SY6470F4S1BC,华晨雷诺金杯汽车有限公司,前轮驱动,87,MT,BM16LD,1520,2045,5.2,9,6.6
SY6470F7S1BC,华晨雷诺金杯汽车有限公司,前轮驱动,110,MT,BM15TF,1530,2055,5.2,8.9,6.6
SY6470F7S1BC,华晨雷诺金杯汽车有限公司,前轮驱动,110,MT,BM15TF,1560,2085,5.2,8.9,6.6
SY6470F7SQ1BC,华晨雷诺金杯汽车有限公司,前轮驱动,110,MT,BM15TF,1595,2120,5.1,9.2,6.4
SY6521D4S1BG2,华晨雷诺金杯汽车有限公司,后轮驱动,78,MT,V19,1950,2800,7.6,12.6,9.6
SY6521D4S1BG3,华晨雷诺金杯汽车有限公司,后轮驱动,78,MT,V19,1950,2800,7.6,12.6,9.6
SY6521D4S1BG5,华晨雷诺金杯汽车有限公司,后轮驱动,78,MT,V19,1950,2800,7.6,12.6,9.6
SY5032XGCL-M1S1BG,华晨雷诺金杯汽车有限公司,后轮驱动,102,MT,4RB2,2000,2750,9.3,13.2,10.8
HQ7101,浙江豪情汽车制造有限公司,前轮驱动,52,MT,JL3G10,937,1312,5.3,7.3,6
i3 1Z41,德国宝马汽车集团,后轮驱动,31,AT,W20K06A,1390,1730,0.7,0.7,0.7
i3 1Z41,德国宝马汽车集团,后轮驱动,31,AT,W20K06A,1390,1730,0.7,0.7,0.7
i3 1Z41,德国宝马汽车集团,后轮驱动,31,AT,W20K06A,1470,1730,0.7,0.7,0.7
i3 1Z41,德国宝马汽车集团,后轮驱动,31,AT,W20K06A,1400,1730,0.7,0.7,0.7
i3 1Z81,德国宝马汽车集团,后轮驱动,31,AT,W20K06A,1430,1760,0.6,0.6,0.6
SC7083A4,重庆长安汽车股份有限公司,前轮驱动,38,MT,JL366Q,870,1245,5.1,6.9,5.7
SC7083A4B,重庆长安汽车股份有限公司,前轮驱动,38,MT,JL366Q,870,1245,5.1,6.9,5.7
SC7083A4,重庆长安汽车股份有限公司,前轮驱动,38,MT,JL366Q,890,1245,5.1,6.9,5.7
JNJ7082,湖南江南汽车制造有限公司,前轮驱动,26.5,MT,JN368QA,645,1000,5,7.9,6
JNJ7082A,湖南江南汽车制造有限公司,前轮驱动,27.5,MT,JN368QA,645,1000,4.9,7.9,6
JNJ7082AF,湖南江南汽车制造有限公司,前轮驱动,27.5,MT,JN368QA,645,1000,4.8,5.9,5.2
JNJ7082AF1,湖南江南汽车制造有限公司,前轮驱动,27.5,MT,JN368QA,645,1000,3.9,6.3,4.8
JNJ7082AK,湖南江南汽车制造有限公司,前轮驱动,27.5,MT,JN368QA,645,1000,4.1,6.8,5.2
SC6345B,河北长安汽车有限公司,后轮驱动,29,MT,JL462Q5,920,1680,5.6,9.7,7.3
SC6363C3,南京长安汽车有限公司,后轮驱动,29,MT,JL462Q5,930,1575,5.8,9.9,7.3
SC6390A3,河北长安汽车有限公司,后轮驱动,29,MT,JL462Q5,1000,1760,5.7,9,7.9
SC6345BJ3,河北长安汽车有限公司,后轮驱动,29,MT,JL462Q5,920,1680,5.7,10.1,7.4
SC6345C,河北长安汽车有限公司,后轮驱动,29,MT,JL462Q5,900,1680,5.6,9.7,6.9
SC6390AJ3,河北长安汽车有限公司,后轮驱动,29,MT,JL462Q5,1000,1760,5.7,8.9,7.3
SC6390AV3,河北长安汽车有限公司,后轮驱动,29,MT,JL462Q5,975,1760,5.7,9,6.9
SC6363CJ3,南京长安汽车有限公司,后轮驱动,29,MT,JL462Q5,930,1575,5.8,9.9,7.3
SC6363CV3,南京长安汽车有限公司,后轮驱动,29,MT,JL462Q5,930,1575,5.2,9.3,6.7
SC6345B4,河北长安汽车有限公司,后轮驱动,29,MT,JL462Q6,920,1680,5.9,8.6,7
SC6345C4,河北长安汽车有限公司,后轮驱动,29,MT,JL462Q6,900,1680,5.9,8.6,7
SC6390A4,河北长安汽车有限公司,后轮驱动,29,MT,JL462Q6,1000,1760,5.9,8.6,7
SC6390AV4,河北长安汽车有限公司,后轮驱动,29,MT,JL462Q6,975,1760,5.9,8.6,7
SC6345E,河北长安汽车有限公司,后轮驱动,29,MT,JL462Q6,890,1680,5.9,8.6,7
SC6345CV,河北长安汽车有限公司,后轮驱动,29,MT,JL462Q6,870,1680,5.9,8.6,6.9
SQR7080S116,奇瑞汽车股份有限公司,前轮驱动,38,MT,SQR372,880,1255,4.9,8.1,6.1
SQR7080S11T6,奇瑞汽车股份有限公司,前轮驱动,38,AMT,SQR372,900,1275,5,8.2,6.2
SQR7080S117,奇瑞汽车股份有限公司,前轮驱动,38,MT,SQR372,880,1255,5.5,8.8,6.7
SQR7080S117,奇瑞汽车股份有限公司,前轮驱动,38,MT,SQR372,880,1255,5.5,7.1,6.1
SQR7081S116,奇瑞汽车股份有限公司,前轮驱动,38,MT,SQR372,880,1255,5.4,7.1,6
SQR7081S117,奇瑞汽车股份有限公司,前轮驱动,38,MT,SQR372,880,1255,5.4,7.1,6
SQR7081S110,奇瑞汽车股份有限公司,前轮驱动,38,MT,SQR372,880,1255,4.7,7.3,5.7
SQR7082S110,奇瑞汽车股份有限公司,前轮驱动,38,MT,SQR372,880,1255,4.7,7.3,5.7
SQR7084S110,奇瑞汽车股份有限公司,前轮驱动,38,MT,SQR372,880,1255,4.3,7,5.3
SQR7080S110,奇瑞汽车股份有限公司,前轮驱动,43,MT,SQRE3G08,890,1265,4.2,6.1,4.9
SQR7083S110,奇瑞汽车股份有限公司,前轮驱动,43,MT,SQRE3G08,890,1265,4.2,6.1,4.9
SQR7080S111,奇瑞汽车股份有限公司,前轮驱动,43,MT,SQRE3G08,890,1265,4.2,6.1,4.9
fortwo coupe 66kW (453353/FJ5DA),戴姆勒股份公司,后轮驱动,66,AT,H4BA409,955,1195,3.7,5.7,4.4
fortwo coupe 66kW (453353/FJ5DA),戴姆勒股份公司,后轮驱动,66,AT,H4BA409,963,1195,3.7,5.7,4.4
fortwo coupe 66kW (453353/FJ5DA),戴姆勒股份公司,后轮驱动,66,AT,NULL,963,1195,3.7,5.7,4.4
fortwo coupe 66kW (453353/FJ5DA),戴姆勒股份公司,后轮驱动,66,AT,NULL,955,1195,3.7,5.7,4.4
fortwo cabrio 66kW (453453/FK5DA),戴姆勒股份公司,后轮驱动,66,AT,H4BA409,979,1225,4.1,5.4,4.6
fortwo cabrio 66kW (453453/FK5DA),戴姆勒股份公司,后轮驱动,66,AT,H4BA409,972,1225,4.1,5.4,4.6
forfour 66kW (453053/FF5DB),戴姆勒股份公司,后轮驱动,66,AT,H4BA409,1068,1450,4,6.3,4.8
forfour 66kW (453053/FF5DB),戴姆勒股份公司,后轮驱动,66,AT,H4BA409,1079,1450,4,6.3,4.8
forfour 66kW (453053/FF5DB),戴姆勒股份公司,后轮驱动,66,AT,H4BA409,1081,1450,4,6.3,4.8
fortwo cabrio 66kW (453453/FK5DA),戴姆勒股份公司,后轮驱动,66,AT,H4BA409,980,1225,4.1,5.4,4.6
fortwo coupe 66kW (453353/FJ5DA),戴姆勒股份公司,后轮驱动,66,AT,H4BA409,956,1195,3.7,5.7,4.4
fortwo coupe 66kW (453353/FJ5DA),戴姆勒股份公司,后轮驱动,66,AT,H4BA409,965,1195,3.7,5.7,4.4
fortwo coupe 66kW (453353/FJ5DA),戴姆勒股份公司,后轮驱动,66,AT,H4BA409,970,1195,3.7,5.7,4.4
forfour BRABUS (453062/FF6CB),戴姆勒股份公司,后轮驱动,80,AT,H4BA409,1089,1460,5.2,5.7,5.4
fortwo cabrio BRABUS (453462/FK6CA),戴姆勒股份公司,后轮驱动,80,AT,H4BA409,1005,1225,4.9,6.1,5.3
fortwo coupe BRABUS (453362/FJ6CA),戴姆勒股份公司,后轮驱动,80,AT,H4BA409,979,1195,4.6,5.9,5.1
forfour 66kW (453053/FF5DB),戴姆勒股份公司,后轮驱动,66,AT,H4BA409,1054,1450,4,6.3,4.8
forfour 66kW (453053/FF5DB),戴姆勒股份公司,后轮驱动,66,AT,H4BA409,1067,1450,4,6.3,4.8
EQ6361PF23Q4,东风汽车公司,后轮驱动,33,MT,EQ464i-40,985,1565,6.2,9.6,7.4
EQ6381LF23Q6,东风汽车公司,后轮驱动,33,MT,AF9-01,1015,1595,6.4,9.4,7.5
EQ6381LF23QN6,东风汽车公司,后轮驱动,33,MT,AF9-01,1015,1595,6.4,9.4,7.5
EQ6361PF2,东风汽车公司,后轮驱动,33,MT,AF9-01,985,1565,6.4,9.4,7.5
EQ6361PF2,东风汽车公司,后轮驱动,33,MT,AF9-01,985,1565,6,9.5,7.5
EQ6361PNF,东风汽车公司,后轮驱动,33,MT,AF9-01,985,1565,6.4,9.4,7.5
EQ6360PF5,东风汽车公司,后轮驱动,33,MT,AF9-01,985,1595,6.4,9.4,7.3
EQ6360PF5,东风汽车公司,后轮驱动,33,MT,AF9-01,985,1595,6,9.5,7.3
EQ6360PFN5,东风汽车公司,后轮驱动,33,MT,AF9-01,985,1595,6.4,9.4,7.3
EQ6361PF23Q4,东风小康汽车有限公司,后轮驱动,33,MT,EQ464i-40,985,1565,6.2,9.6,7.4
CH6390BE4,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1015,1670,5.8,8.8,6.9
CH6390BHE4,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1015,1670,5.8,8.8,6.9
CH6390BHE4,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1015,1670,5.9,9.2,7.1
CH6390BLE4,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1015,1670,5.9,9.3,7.2
CH6390BLE,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1015,1670,5.7,9,6.9
GHT6360,贵州航天圆通汽车制造有限公司,后轮驱动,35,MT,HH465QE3,880,1450,5.8,9.3,7.1
LZW6358E3,上汽通用五菱汽车股份有限公司,后轮驱动,34.7,MT,LJ465Q3E2,900,1450,6.5,8.9,7.4
LZW6358EV3Q,上汽通用五菱汽车股份有限公司,后轮驱动,34.7,MT,LJ465Q3E2,890,1450,6.1,8.5,7
LZW6358E3Q,上汽通用五菱汽车股份有限公司,后轮驱动,34.7,MT,LJ465Q3E2,900,1450,6.5,8.9,7.4
LZW6376E3Q,上汽通用五菱汽车股份有限公司,后轮驱动,34.7,MT,LJ465Q3E2,985,1550,6.9,9.4,7.8
CH6390BE4,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1015,1670,5.9,9.2,7.1
CH6390BE4,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1015,1670,5.9,9.3,7.2
CH6390BLE3,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1015,1670,5.7,9,6.9
CH6390BLE4,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1015,1670,5.8,8.8,6.9
CH6390LCE,合肥昌河汽车有限责任公司,后轮驱动,35,MT,DA465QE,1015,1670,6,9,7.1
CH7101BE4,合肥昌河汽车有限责任公司,前轮驱动,33.5,MT,DA465Q-2,930,1360,5.5,8.3,6.5
CH7101CE4,合肥昌河汽车有限责任公司,前轮驱动,33.5,MT,DA465Q-2,930,1360,5.5,8.3,6.5
LZW6376E3,上汽通用五菱汽车股份有限公司,后轮驱动,34.7,MT,LJ465Q3E2,985,1550,6.9,9.4,7.8
LZW6376EV3Q,上汽通用五菱汽车股份有限公司,后轮驱动,34.7,MT,LJ465Q3E2,985,1550,6.5,9.2,7.5
GA6380E3,郴州吉奥南燕驰峰汽车有限公司,后轮驱动,34.7,MT,GA465QEC,1020,1525,6,9.8,7.3
GA6380E3A,郴州吉奥南燕驰峰汽车有限公司,后轮驱动,34.7,MT,GA465QEC,1020,1525,6,9.8,7.3
CH6390BHE4,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1015,1670,5.9,9.3,7.2
CH6390BLE4,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1015,1670,5.9,9.2,7.1
CH7101BE3,合肥昌河汽车有限责任公司,前轮驱动,33.5,MT,DA465Q-2,930,1360,5.3,7.7,6.2
CH7100A2,江西昌河铃木汽车有限责任公司,前轮驱动,33.5,MT,DA465Q-2,900,1330,5.3,8.3,6.4
CH7100A3,江西昌河铃木汽车有限责任公司,前轮驱动,33.5,MT,DA465Q-2,900,1330,5.4,8.4,6.5
HFJ6391D4,哈飞汽车股份有限公司,后轮驱动,35.5,MT,DA465Q,1000,1590,6.4,9.4,7.5
HFJ6391E4,哈飞汽车股份有限公司,后轮驱动,44,MT,DA465QA,1000,1590,5.8,9,7
CH5020XQCA1,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1085,1900,5.9,8.8,7
CH5020XYZA1,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1085,1900,5.9,8.8,7
HFJ6376E,哈飞汽车股份有限公司,后轮驱动,35.5,MT,DA465Q,960,1530,5.8,9,7
HFJ5020XJHE,哈飞汽车股份有限公司,后轮驱动,35.5,MT,DA465Q,1010,1560,6.4,9.4,7.5
HFJ7100E3,哈飞汽车股份有限公司,前轮驱动,33.5,MT,DA465Q-2,920,1270,5.8,8.2,6.7
HFJ5024XJHBE4,哈飞汽车股份有限公司,后轮驱动,44,MT,DA465QA,1045,1650,5.8,9,7
HFJ6392BE4,哈飞汽车股份有限公司,后轮驱动,44,MT,DA465QA,1045,1650,5.8,9,7
CH6390LCE,合肥昌河汽车有限责任公司,后轮驱动,35.5,MT,DA465QE,1015,1670,6,9,7.1
CH6430A1,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1085,1900,5.9,8.8,7
CH7101F1,江西昌河铃木汽车有限责任公司,前轮驱动,33.5,MT,DA465Q-2,930,1360,5.3,8.2,6.4
HFJ6392E,哈飞汽车股份有限公司,后轮驱动,35.5,MT,DA465Q,1045,1650,6.4,9.4,7.5
HFJ5020XQCE,哈飞汽车股份有限公司,后轮驱动,35.5,MT,DA465Q,1015,1560,6.4,9.4,7.5
HFJ5022XJHE,哈飞汽车股份有限公司,后轮驱动,35.5,MT,DA465Q,1000,1560,6.4,9.4,7.5
HFJ5022XQCE,哈飞汽车股份有限公司,后轮驱动,35.5,MT,DA465Q,1000,1560,6.4,9.4,7.5
HFJ6391BE,哈飞汽车股份有限公司,后轮驱动,44,MT,DA465QA,1000,1590,5.8,9,7
HFJ5024XJHBE,哈飞汽车股份有限公司,后轮驱动,44,MT,DA465QA,1045,1650,5.8,9,7
HFJ6391D4,哈飞汽车股份有限公司,后轮驱动,35.5,MT,DA465Q,1000,1560,6.4,9.4,7.5
CH6430J1,合肥昌河汽车有限责任公司,后轮驱动,35.5,MT,DA465QE,1085,1900,6.1,8.8,7.1
CH7101G1,江西昌河铃木汽车有限责任公司,前轮驱动,33.5,MT,DA465Q-2,930,1360,5.4,8.1,6.4
HFJ6392D4,哈飞汽车股份有限公司,后轮驱动,35.5,MT,DA465Q,1045,1650,6.4,9.4,7.5
HFJ7100E4,哈飞汽车股份有限公司,前轮驱动,33.5,MT,DA465Q-2,920,1270,5.8,8.2,6.7
CH5020XJHA1,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1085,1900,5.9,8.8,7
HFJ6370E3,哈飞汽车股份有限公司,后轮驱动,35.5,MT,DA465Q,1000,1560,6.4,9.4,7.5
HFJ6370BE,哈飞汽车股份有限公司,后轮驱动,44,MT,DA465QA,1000,1560,5.8,9,7
HFJ6370D4,哈飞汽车股份有限公司,后轮驱动,35.5,MT,DA465Q,1000,1560,6.4,9.4,7.5
HFJ6370E4,哈飞汽车股份有限公司,后轮驱动,44,MT,DA465QA,1000,1560,5.8,9,7
HFJ6370E,哈飞汽车股份有限公司,后轮驱动,35.5,MT,DA465Q,1000,1560,6.4,9.4,7.5
HFJ6391BE,哈飞汽车股份有限公司,后轮驱动,44,MT,DA465QA,1000,1560,5.8,9,7
HFJ6391E4,哈飞汽车股份有限公司,后轮驱动,44,MT,DA465QA,1000,1560,5.8,9,7
HFJ6376D4,哈飞汽车股份有限公司,后轮驱动,35.5,MT,DA465Q,960,1530,6.2,9.4,7.4
HX6301B,河北红星汽车制造有限公司,前轮驱动,33.5,MT,DA465Q-2,925,1225,5.2,8.4,6.4
HX6301B,河北红星汽车制造有限公司,前轮驱动,33.5,MT,DA465Q-2,875,1225,5.2,8.4,6.4
HFJ5017XJHE,哈飞汽车股份有限公司,后轮驱动,35.5,MT,DA465Q,970,1530,6.2,9.4,7.4
HFJ6376E3,哈飞汽车股份有限公司,后轮驱动,35.5,MT,DA465Q,960,1530,6.2,9.4,7.4
HFJ6392BE,哈飞汽车股份有限公司,后轮驱动,44,MT,DA465QA,1045,1650,5.8,9,7
HFJ6391E4,哈飞汽车股份有限公司,后轮驱动,44,MT,DA465QA,1000,1620,5.8,9,7
HFJ6391E3,哈飞汽车股份有限公司,后轮驱动,35.5,MT,DA465Q,1000,1590,6.4,9.4,7.5
HFJ6391E,哈飞汽车股份有限公司,后轮驱动,35.5,MT,DA465Q,1000,1560,6.4,9.4,7.5
HFJ6391E,哈飞汽车股份有限公司,后轮驱动,35.5,MT,DA465Q,1000,1590,6.4,9.4,7.5
HFJ6391E3,哈飞汽车股份有限公司,后轮驱动,35.5,MT,DA465Q,1000,1560,6.4,9.4,7.5
SY6390A1SBW,沈阳华晨金杯汽车有限公司,后轮驱动,34.7,MT,LJ465Q3E2,1000,1650,5.6,8.2,6.5
CA6363A1,一汽吉林汽车有限公司,后轮驱动,35.5,MT,LJ465QE1,895,1415,5,9.7,6.8
CA6371Ⅲ,一汽吉林汽车有限公司,后轮驱动,35.5,MT,LJ465QE1,985,1505,6.6,9.7,7.5
CA6393,一汽吉林汽车有限公司,后轮驱动,44,MT,CF465Q4E2,1123,1699,6.1,9,7.2
CA6390,一汽吉林汽车有限公司,后轮驱动,44,MT,DA465QA,1123,1699,6,8.7,7.1
CA6373A1,一汽吉林汽车有限公司,后轮驱动,35.5,MT,LJ465QE1,985,1505,5.3,10.2,7.1
CA6390,一汽吉林汽车有限公司,后轮驱动,0,MT,DA465QA,1123,1699,6,8.7,7.1
CA6393A2,一汽吉林汽车有限公司,后轮驱动,44,MT,CF465Q4E2,1123,1699,6.2,9.2,7.3
CA6371Ⅲ,一汽吉林汽车有限公司,后轮驱动,35.5,MT,DA465Q,985,1505,6.5,9.4,7.4
CA6390A2,一汽吉林汽车有限公司,后轮驱动,44,MT,DA465QA,1123,1699,5.9,8.9,7
CA6390E,一汽吉林汽车有限公司,后轮驱动,44,MT,DA465QA,1123,1699,5.9,8.9,7
CA6363,一汽吉林汽车有限公司,后轮驱动,35.5,MT,LJ465QE1,895,1415,5,9.7,6.8
CA6371A5,一汽吉林汽车有限公司,后轮驱动,35.5,MT,DA465Q,985,1505,5.9,10.3,7.4
CA6371A4,一汽吉林汽车有限公司,后轮驱动,44,MT,DA465QA,985,1505,6.3,9.5,7.5
CH5025XJHA1,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1085,1900,5.9,8.8,7
CA6371A8,一汽吉林汽车有限公司,后轮驱动,35.5,MT,LJ465QE1,985,1505,6.1,9,7.2
CA6361A3,一汽吉林汽车有限公司,后轮驱动,35.5,MT,LJ465QE1,895,1415,5.8,9.1,7
CA6364,一汽吉林汽车有限公司,后轮驱动,35.5,MT,LJ465QE1,895,1415,6,8.8,7
CH6432J1,合肥昌河汽车有限责任公司,后轮驱动,35.5,MT,DA465QE,1085,1900,6.1,8.8,7.1
HFJ5024XJHE,哈飞汽车股份有限公司,后轮驱动,35.5,MT,DA465Q,1045,1650,6.4,9.4,7.5
CH5025XQCA1,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1085,1900,5.9,8.8,7
CH5025XYZA1,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1085,1900,5.9,8.8,7
CH7103G1,江西昌河铃木汽车有限责任公司,前轮驱动,33.5,MT,DA465Q-2,930,1360,5.4,8.1,6.4
CH6396HA1,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1015,1670,5.8,8.8,6.9
CH6396LJ1,合肥昌河汽车有限责任公司,后轮驱动,35.5,MT,DA465QE,1015,1670,6,9,7.1
CH6396LN1,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1015,1670,5.7,9,6.9
CH6396LR1,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1015,1670,5.7,9,6.9
CH6396LA1,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1015,1670,5.9,9.3,7.2
CH7103F1,江西昌河铃木汽车有限责任公司,前轮驱动,33.5,MT,DA465Q-2,930,1360,5.3,8.2,6.4
CH6396A1,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1015,1670,5.9,9.2,7.1
CH6396A1,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1015,1670,5.9,9.3,7.2
CH6396HA1,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1015,1670,5.9,9.3,7.2
CH6396A1,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1015,1670,5.8,8.8,6.9
CH6396HA1,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1015,1670,5.9,9.2,7.1
CH6396LA1,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1015,1670,5.8,8.8,6.9
CH6396LA1,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1015,1670,5.9,9.2,7.1
CH6432A1,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1085,1900,5.9,8.8,7
HFJ5024XJHD4,哈飞汽车股份有限公司,后轮驱动,35.5,MT,DA465Q,1045,1650,6.4,9.4,7.5
HFJ6440E,哈飞汽车股份有限公司,后轮驱动,35.5,MT,DA465Q,1060,1800,6.6,9.8,7.8
CH6390LCE4,合肥昌河汽车有限责任公司,后轮驱动,35.5,MT,DA465QE,1015,1670,6,9.3,7.2
CH6390LCE4,合肥昌河汽车有限责任公司,后轮驱动,35.5,MT,DA465QE,1015,1670,6,9,7.1
CH6390LCE4,合肥昌河汽车有限责任公司,后轮驱动,35.5,MT,DA465QE,1015,1670,6.2,9.1,7.3
CH6430F1,合肥昌河汽车有限责任公司,后轮驱动,35.5,MT,DA465QE,1085,1900,6.1,9.1,7.2
CA6374A1,一汽吉林汽车有限公司,后轮驱动,35.5,MT,LJ465QE1,985,1505,5.9,10.1,7.4
HFJ6370E4C,哈飞汽车股份有限公司,后轮驱动,44,MT,DA465QA,1000,1560,5.4,7.9,6.3
HFJ6392B4C,哈飞汽车股份有限公司,后轮驱动,44,MT,DA465QA,1045,1650,5.4,7.9,6.3
STJ6400B,陕西通家汽车股份有限公司,后轮驱动,44,MT,DA465QA,1178,1850,6.3,9.1,7.3
HFJ6400B4C,哈飞汽车股份有限公司,后轮驱动,44,MT,DA465QA,1095,1800,5.8,8.2,6.7
CA5020XJHA4,一汽吉林汽车有限公司,后轮驱动,43,MT,DA465QA,985,1505,6.3,9.5,7.5
CA5029XJHA4,一汽吉林汽车有限公司,后轮驱动,35.5,MT,LJ465QE1,990,1510,6.1,9,7.2
CA6374A1,一汽吉林汽车有限公司,后轮驱动,35.5,MT,DA465Q,985,1505,5.8,9.9,7.3
CA5020XJHA8,一汽吉林汽车有限公司,后轮驱动,44,MT,DA465QA,1123,1699,5.9,8.9,7
CA6400A4,一汽吉林汽车有限公司,后轮驱动,35.5,MT,LJ465QE1,990,1510,6.1,9,7.2
HFJ6372A4B,哈飞汽车股份有限公司,后轮驱动,44,MT,DA465QA,985,1560,5.8,9,7
HFJ6372A4Y,哈飞汽车股份有限公司,后轮驱动,44,MT,DA465QA,985,1560,5,7.6,6
HFJ6372B4B,哈飞汽车股份有限公司,后轮驱动,35.5,MT,DA465Q,985,1560,6.4,9.4,7.5
HFJ6392B4Y,哈飞汽车股份有限公司,后轮驱动,44,MT,DA465QA,1045,1650,5,7.6,6
HFJ6392BE4S,哈飞汽车股份有限公司,后轮驱动,44,MT,DA465QA,1095,1650,5.8,9,7
CH6390LA1,合肥昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1030,1670,6.3,9.6,7.5
CA6393E,一汽吉林汽车有限公司,后轮驱动,44,MT,LJ465Q 4E2,1123,1699,6.2,10.8,7.9
CH7101F3,江西昌河汽车有限责任公司,前轮驱动,33.5,MT,DA465Q-2,930,1360,5.3,8.2,6.4
CH7100A4,江西昌河铃木汽车有限责任公司,前轮驱动,44,MT,DA465QA-2,900,1330,5.2,8,6.2
CH7100B,江西昌河铃木汽车有限责任公司,前轮驱动,44,MT,DA465QA-2,900,1330,5.2,8,6.2
CH7105A,江西昌河铃木汽车有限责任公司,前轮驱动,44,MT,DA465QA-2,940,1405,5.2,8,6.2
CH7105A1,江西昌河铃木汽车有限责任公司,前轮驱动,44,MT,DA465QA-2,940,1405,5.2,8,6.2
CH7101F2,江西昌河汽车有限责任公司,前轮驱动,44,MT,DA465QA-2,930,1360,5.3,7.7,6.2
SC6415A4,河北长安汽车有限公司,后轮驱动,44,MT,DA465QA,995,1760,6.8,7.5,7.4
SC6415AV4,河北长安汽车有限公司,后轮驱动,44,MT,DA465QA,995,1760,6.8,7.5,7.4
CH6391BG21,江西昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,985,1670,6,9.3,7.2
CH6391BG21,江西昌河汽车有限责任公司,后轮驱动,44,MT,DA465QA,1015,1670,6,9.3,7.2
SQR6362K007,奇瑞汽车股份有限公司,后轮驱动,50,MT,SQR372W,1074,1674,6.2,10,7.6
SQR6362K007,奇瑞汽车股份有限公司,后轮驱动,50,MT,SQR372W,1049,1674,6.1,9.6,7.4
SQR6362K007,奇瑞汽车股份有限公司,后轮驱动,50,MT,SQR372W,1069,1674,6.2,10,7.6
SQR6362K000,奇瑞汽车股份有限公司,后轮驱动,50,MT,SQR372W,1049,1674,5,8,6.1
SQR6362K000,奇瑞汽车股份有限公司,后轮驱动,50,MT,SQR372W,1069,1674,5,8,6.1
SQR6362K000,奇瑞汽车股份有限公司,后轮驱动,50,MT,SQR372W,1074,1674,5,8,6.1
SQR6401Q220,奇瑞汽车股份有限公司,后轮驱动,50,MT,SQR372W,1182,1800,5.3,8.6,6.5
SQR6363K007,奇瑞汽车股份有限公司,后轮驱动,42,MT,SQRB3G10,1049,1674,6.4,8.2,7.1
SQR6363K007,奇瑞汽车股份有限公司,后轮驱动,42,MT,SQRB3G10,1074,1674,6.4,8.2,7.1
SQR6401Q220,奇瑞汽车股份有限公司,后轮驱动,50,MT,SQR372W,1157,1800,5.3,8.6,6.5
SQR6401Q220,奇瑞汽车股份有限公司,后轮驱动,50,MT,SQR372W,1177,1800,5.3,8.6,6.5
SQR6401Q220,奇瑞汽车股份有限公司,后轮驱动,50,MT,SQR372W,1167,1800,5.3,8.6,6.5
SQR6363K007,奇瑞汽车股份有限公司,后轮驱动,42,MT,SQRB3G10,1069,1674,6.4,8.2,7.1
SQR6363K000,奇瑞汽车股份有限公司,后轮驱动,50,MT,SQR372W,1049,1674,5.4,8.4,6.5
SQR6363K000,奇瑞汽车股份有限公司,后轮驱动,50,MT,SQR372W,1069,1674,5.4,8.4,6.5
